ar,re,lx,ly,distance_from_training,is_training_ar,mae_x,mae_y,mae_mag,rmse_x,rmse_y,rmse_mag,error_growth_rate
1.7x1,2000,1.7,1.0,0.7402185205244568,False,1.5549716e-07,5.1484733e-07,3.949608e-07,3.225064e-07,9.66376e-07,7.57391e-07,
1.7x1,2100,1.7,1.0,0.7402185205244568,False,1.4888691e-07,5.608333e-07,4.2830536e-07,3.1547467e-07,1.0596779e-06,8.2121517e-07,
1.7x1,300,1.7,1.0,0.7402185205244568,False,4.5278092e-08,2.6240104e-07,2.5429316e-07,5.9546775e-08,4.9241527e-07,4.6660975e-07,
1.7x1,400,1.7,1.0,0.7402185205244568,False,4.169583e-08,2.599194e-07,2.45245e-07,6.29403e-08,5.043633e-07,4.697751e-07,
1.7x1,500,1.7,1.0,0.7402185205244568,False,5.0849714e-08,2.7958728e-07,2.6084655e-07,7.267596e-08,5.090352e-07,4.644246e-07,
1.7x1,600,1.7,1.0,0.7402185205244568,False,5.9407306e-08,2.725786e-07,2.4240552e-07,9.6714246e-08,5.269455e-07,4.7208025e-07,
1.7x1,700,1.7,1.0,0.7402185205244568,False,4.4092182e-08,2.787811e-07,2.419231e-07,9.846307e-08,5.3865136e-07,4.749035e-07,
1.7x1,800,1.7,1.0,0.7402185205244568,False,8.107874e-08,3.304672e-07,2.8863795e-07,1.3561584e-07,6.1170016e-07,5.3992915e-07,
1.7x1,900,1.7,1.0,0.7402185205244568,False,6.025986e-08,3.3903999e-07,2.7916408e-07,1.3295941e-07,6.256896e-07,5.405356e-07,
1.8x1,100,1.8,1.0,0.7602082824955233,False,3.946036e-08,2.3589288e-07,2.4086776e-07,5.1407117e-08,4.6467832e-07,4.5944986e-07,
1.8x1,1000,1.8,1.0,0.7602082824955233,False,6.005547e-08,3.4496935e-07,2.9695408e-07,1.2559043e-07,6.7619425e-07,5.903922e-07,
1.8x1,1100,1.8,1.0,0.7602082824955233,False,8.7767575e-08,3.9242227e-07,3.3264064e-07,1.5486826e-07,6.9826575e-07,5.98012e-07,
1.8x1,1200,1.8,1.0,0.7602082824955233,False,6.610751e-08,4.0090063e-07,3.3771312e-07,1.5033608e-07,7.788744e-07,6.690799e-07,
1.8x1,1300,1.8,1.0,0.7602082824955233,False,1.1694824e-07,4.271391e-07,3.4949528e-07,2.2908307e-07,8.257587e-07,7.088761e-07,
1.8x1,1400,1.8,1.0,0.7602082824955233,False,8.023308e-08,4.586496e-07,3.820326e-07,1.7114768e-07,8.5538767e-07,7.236386e-07,
1.8x1,1500,1.8,1.0,0.7602082824955233,False,8.462242e-08,4.5308462e-07,3.7170898e-07,1.9323419e-07,8.7372223e-07,7.305568e-07,
1.8x1,1600,1.8,1.0,0.7602082824955233,False,1.1111119e-07,4.6540734e-07,3.674851e-07,2.439585e-07,8.736241e-07,7.0906617e-07,
1.8x1,1700,1.8,1.0,0.7602082824955233,False,1.01948054e-07,4.326796e-07,3.3145608e-07,2.509584e-07,8.0776107e-07,6.3992076e-07,
1.8x1,1800,1.8,1.0,0.7602082824955233,False,9.438681e-08,4.7274213e-07,3.6070088e-07,2.372337e-07,8.687808e-07,7.033654e-07,
1.8x1,1900,1.8,1.0,0.7602082824955233,False,1.00235695e-07,4.926385e-07,3.8226656e-07,2.5690255e-07,9.294907e-07,7.4392733e-07,
1.8x1,200,1.8,1.0,0.7602082824955233,False,5.7505282e-08,2.514742e-07,2.6705447e-07,6.3837916e-08,5.08914e-07,4.9724184e-07,
1.8x1,2000,1.8,1.0,0.7602082824955233,False,1.2646092e-07,5.393474e-07,4.1503597e-07,3.016951e-07,1.006586e-06,8.0038654e-07,
1.8x1,2100,1.8,1.0,0.7602082824955233,False,1.39656e-07,5.554465e-07,4.2938763e-07,3.0852908e-07,1.0581847e-06,8.46115e-07,
1.8x1,300,1.8,1.0,0.7602082824955233,False,4.5204576e-08,2.5589168e-07,2.443582e-07,7.4196684e-08,4.8839075e-07,4.6334148e-07,
1.8x1,400,1.8,1.0,0.7602082824955233,False,3.915834e-08,2.873321e-07,2.6860874e-07,5.6906465e-08,5.2059295e-07,4.869345e-07,
